+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; VGA_CTRL_INST                                                                              ; 18    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST|SDRAM_WR_INST                                                   ; 54    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST|SDRAM_RD_ISNT                                                   ; 54    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST|SDRAM_AREF_INST                                                 ; 4     ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST|SDRAN_ARBIT_INST                                                ; 102   ; 1              ; 0            ; 1              ; 23     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST|SDRAM_INIT_INST                                                 ; 2     ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_CTRL_INST                                                                 ; 88    ; 0              ; 0            ; 0              ; 39     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|wrfull_eq_comp    ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rdfull_eq_comp    ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rdempty_eq_comp   ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|ws_dgrp|dffpipe16 ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|ws_dgrp           ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|ws_bwp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|ws_brp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rs_dgwp|dffpipe13 ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rs_dgwp           ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rs_bwp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rs_brp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|fifo_ram          ; 46    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|ws_dgrp_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|wrptr_g_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rs_dgwp_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated|rdptr_g_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd|dcfifo_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 42     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_rd                                                   ; 21    ; 2              ; 0            ; 2              ; 29     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|wrfull_eq_comp    ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rdfull_eq_comp    ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rdempty_eq_comp   ; 26    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|ws_dgrp|dffpipe16 ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|ws_dgrp           ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|ws_bwp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|ws_brp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rs_dgwp|dffpipe13 ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rs_dgwp           ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rs_bwp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rs_brp            ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|fifo_ram          ; 46    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|ws_dgrp_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|wrptr_g_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rs_dgwp_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated|rdptr_g_gray2bin  ; 13    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr|dcfifo_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 42     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST|sdram_fifo_wr                                                   ; 21    ; 2              ; 0            ; 2              ; 29     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST|SDRAM_FIFO_INST                                                                 ; 160   ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDRAM_INST                                                                                 ; 141   ; 119            ; 0            ; 119            ; 40     ; 119             ; 119           ; 119             ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; OV5640_CTRL_INST|OV5640_DATA_INST                                                          ; 12    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; OV5640_CTRL_INST|OV5640_CFG_INST|IIC_CTRL_INST                                             ; 36    ; 9              ; 0            ; 9              ; 2      ; 9               ; 9             ; 9               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
